"","input","filtered","denoisedF","denoisedR","merged","correct_length","nonchim"
"e04259-B",20232,17402,17197,17194,16516,16516,16167
"e04259-C",37366,31910,31640,31732,20001,20001,19976
"e04260-A",11742,9886,9829,9837,9727,9727,9710
"e04260-B",18293,15579,15481,15499,15301,15301,15171
"e04260-C",4796,4071,4044,4053,4007,4007,4007
"NC34-A",38,27,17,6,0,0,0
"NC34-B",6,5,3,1,0,0,0
"NC34-C",23745,20181,20150,20161,20131,20131,20131
"NC35-A",7,2,2,2,0,0,0
"NC35-B",5,4,2,1,0,0,0
"NC35-C",3,1,1,1,0,0,0
"PC34-A",58684,49613,49520,49194,49116,49116,49116
"PC34-B",66298,56054,55965,55668,55610,55610,55610
"PC34-C",60887,51468,51402,51158,51093,51093,51093
"PC35-A",19,11,1,1,1,1,1
"PC35-B",26,19,14,8,8,8,8
"PC35-C",13,9,6,1,0,0,0
